Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;45;35;30.6
gaussian_400_25;45;40;30.6
gaussian_400_25;45;45;30.5
gaussian_400_25;45;50;30.4
gaussian_400_25;45;55;30.3
gaussian_400_25;45;60;30.2
gaussian_400_25;45;65;30.1
gaussian_400_25;45;70;30.0
gaussian_400_25;45;75;29.9
gaussian_400_25;45;80;29.8
gaussian_400_25;45;85;29.7
gaussian_400_25;45;90;29.6
gaussian_400_25;45;95;29.5
gaussian_400_25;45;100;29.4
gaussian_400_25;45;105;29.3
gaussian_400_25;45;110;29.2
gaussian_400_25;45;115;29.1
gaussian_400_25;45;120;29.0
gaussian_400_25;45;125;28.9
gaussian_400_25;45;130;28.8
gaussian_400_25;45;135;28.7
gaussian_400_25;45;140;28.6
gaussian_400_25;45;145;28.5
gaussian_400_25;45;150;28.4
gaussian_400_25;45;155;28.3
gaussian_400_25;45;160;28.2
gaussian_400_25;45;165;28.1
gaussian_400_25;45;170;28.0
gaussian_400_25;45;175;28.0
gaussian_400_25;45;180;27.9
gaussian_400_25;45;185;27.8
gaussian_400_25;45;190;27.7
gaussian_400_25;45;195;27.6
gaussian_400_25;45;200;27.5
gaussian_400_25;45;205;27.4
gaussian_400_25;45;210;27.3
gaussian_400_25;45;215;27.2
gaussian_400_25;45;220;27.1
gaussian_400_25;45;225;27.0
gaussian_400_25;45;230;26.9
gaussian_400_25;45;235;26.8
gaussian_400_25;45;240;26.7
gaussian_400_25;45;245;26.6
gaussian_400_25;45;250;26.5
gaussian_400_25;45;255;26.4
gaussian_400_25;45;260;26.3
gaussian_400_25;45;265;26.2
gaussian_400_25;45;270;26.1
gaussian_400_25;45;275;26.0
gaussian_400_25;45;280;25.9
gaussian_400_25;45;285;25.9
gaussian_400_25;45;290;25.8
gaussian_400_25;45;295;25.8
gaussian_400_25;45;300;25.8
gaussian_400_25;45;305;25.9
gaussian_400_25;45;310;26.0
gaussian_400_25;45;315;26.2
gaussian_400_25;45;320;26.6
gaussian_400_25;45;325;27.1
gaussian_400_25;45;330;27.8
gaussian_400_25;45;335;28.5
gaussian_400_25;45;340;29.6
gaussian_400_25;45;345;30.6
gaussian_400_25;45;350;31.9
gaussian_400_25;45;355;33.0
gaussian_400_25;45;360;34.1
gaussian_400_25;45;365;35.3
gaussian_400_25;45;370;36.3
gaussian_400_25;45;375;37.2
gaussian_400_25;45;380;37.9
gaussian_400_25;45;385;38.6
gaussian_400_25;45;390;39.0
gaussian_400_25;45;395;39.4
gaussian_400_25;45;400;39.7
gaussian_400_25;50;5;30.5
gaussian_400_25;50;10;30.4
gaussian_400_25;50;15;30.3
gaussian_400_25;50;20;30.2
gaussian_400_25;50;25;30.1
gaussian_400_25;50;30;30.0
gaussian_400_25;50;35;29.9
gaussian_400_25;50;40;29.8
gaussian_400_25;50;45;29.7
gaussian_400_25;50;50;29.6
gaussian_400_25;50;55;29.5
gaussian_400_25;50;60;29.4
gaussian_400_25;50;65;29.3
gaussian_400_25;50;70;29.2
gaussian_400_25;50;75;29.1
gaussian_400_25;50;80;29.0
gaussian_400_25;50;85;28.9
gaussian_400_25;50;90;28.8
gaussian_400_25;50;95;28.7
gaussian_400_25;50;100;28.6
gaussian_400_25;50;105;28.5
gaussian_400_25;50;110;28.4
gaussian_400_25;50;115;28.3
gaussian_400_25;50;120;28.2
